40 4222 14710
1 0     4.155108e+02 3.469665e+02
2 0     3.745521e+02 3.409067e+02
4 0     2.738303e+02 3.386443e+02
39 0     4.550587e+02 3.567959e+02
1 1     1.909230e+02 5.670579e+02
2 1     1.677486e+02 5.675665e+02
39 1     1.475200e+02 5.830090e+02
1 2     1.637878e+02 7.094917e+02
2 2     1.483370e+02 7.025999e+02
3 2     1.334794e+02 6.922178e+02
36 2     2.505233e+02 7.344262e+02
37 2     2.346451e+02 7.314642e+02
38 2     1.989159e+02 7.225811e+02
39 2     1.808317e+02 7.160520e+02
40 2     2.156049e+02 7.274641e+02
1 3     4.064071e+02 2.402783e+02
2 3     3.606057e+02 2.407088e+02
3 3     3.197668e+02 2.407172e+02
4 3     2.838065e+02 2.398809e+02
36 3     5.334951e+02 2.323537e+02
37 3     5.084856e+02 2.363696e+02
38 3     4.921310e+02 2.371410e+02
39 3     4.539859e+02 2.388054e+02
1 4     6.129059e+02 3.485265e+02
2 4     5.776208e+02 3.363288e+02
3 4     5.323340e+02 3.338380e+02
4 4     4.910809e+02 3.334131e+02
38 4     6.749589e+02 3.334702e+02
39 4     6.476918e+02 3.419939e+02
1 5     4.039662e+02 7.437922e+02
2 5     3.685222e+02 7.534734e+02
3 5     3.122538e+02 7.583154e+02
1 6     1.517975e+02 8.460349e+02
2 6     1.270556e+02 8.319396e+02
37 6     2.641336e+02 8.693281e+02
38 6     2.076166e+02 8.625728e+02
39 6     1.737510e+02 8.541761e+02
40 6     2.379809e+02 8.674084e+02
1 7     1.568533e+02 3.950728e+02
39 7     1.753244e+02 4.135046e+02
1 8     2.748601e+02 1.889918e+02
2 8     2.477807e+02 1.861862e+02
1 9     5.144687e+02 2.615393e+02
37 9     6.233877e+02 2.413255e+02
39 9     5.620885e+02 2.567668e+02
1 10     4.885171e+02 1.843021e+02
2 10     4.445907e+02 1.794997e+02
3 10     3.938954e+02 1.743272e+02
37 10     6.011082e+02 1.651574e+02
38 10     5.531926e+02 1.788917e+02
40 10     5.792034e+02 1.727771e+02
1 11     3.114991e+02 9.228979e+02
2 11     2.551572e+02 9.210414e+02
3 11     1.974156e+02 9.171276e+02
38 11     4.198024e+02 9.171676e+02
39 11     3.666437e+02 9.204793e+02
40 11     4.678366e+02 9.104635e+02
1 12     3.679343e+02 8.766084e+02
2 12     3.261981e+02 8.801158e+02
3 12     2.821328e+02 8.788669e+02
1 13     2.902766e+02 8.557197e+02
2 13     2.453168e+02 8.576589e+02
3 13     1.997931e+02 8.567152e+02
38 13     3.796823e+02 8.456259e+02
39 13     3.374819e+02 8.509589e+02
40 13     4.273376e+02 8.401039e+02
1 14     4.708333e+02 9.131400e+02
2 14     4.258047e+02 9.207211e+02
3 14     3.761998e+02 9.262125e+02
38 14     5.505433e+02 8.918771e+02
39 14     5.130848e+02 9.032936e+02
40 14     5.790893e+02 8.780878e+02
1 15     4.503890e+02 6.395547e+02
2 15     4.024118e+02 6.510821e+02
3 15     3.717481e+02 6.428003e+02
38 15     5.169301e+02 6.256785e+02
39 15     4.863177e+02 6.324826e+02
1 16     3.705485e+02 6.978768e+02
2 16     3.252430e+02 7.000647e+02
37 16     5.406700e+02 6.773035e+02
38 16     4.667480e+02 6.927985e+02
39 16     4.160883e+02 6.918118e+02
40 16     5.082736e+02 6.885453e+02
1 17     4.913773e+02 4.064748e+02
2 17     4.218695e+02 4.080383e+02
3 17     3.486893e+02 4.064592e+02
38 17     6.168502e+02 3.947458e+02
39 17     5.583564e+02 4.010604e+02
1 18     1.527042e+02 4.365338e+02
37 18     2.515968e+02 5.046919e+02
1 19     5.683576e+02 4.487941e+02
2 19     5.141237e+02 4.541758e+02
3 19     4.565054e+02 4.483797e+02
38 19     6.660609e+02 4.521716e+02
39 19     6.211153e+02 4.372545e+02
1 20     2.837289e+02 2.602733e+02
2 20     2.371444e+02 2.565954e+02
37 20     4.025258e+02 2.690031e+02
39 20     3.301207e+02 2.599831e+02
40 20     3.704289e+02 2.656733e+02
1 21     4.061787e+02 2.664141e+02
2 21     3.467959e+02 2.677412e+02
36 21     5.420583e+02 2.565177e+02
37 21     5.024296e+02 2.607092e+02
40 21     4.630367e+02 2.662550e+02
1 22     5.394405e+02 2.661070e+02
